customer_city,delivery_delay,geolocation_lat,geolocation_lng,seller_city,seller_state,price
Itapema,-15.363636363636363,-27.11040169285607,-48.60847754647819,Itapema,SC,60.0
,,,,Sao Sebastiao Da Grama/Sp,SP,61.9
Tocantins,-16.833333333333332,-21.172824432762116,-43.02182436907186,Tocantins,SP,64.9
,,,,"Novo Hamburgo, Rio Grande Do Sul, Brasil",RS,66.64
,,,,Barbacena/ Minas Gerais,MG,69.9
Guaira,-11.904496225795866,-20.677343387526108,-48.87575255314379,Guaira,PR,73.99
Carmo Da Mata,-19.833333333333332,-20.559683797901453,-44.86920190758277,Carmo Da Mata,MG,74.9
Campina Grande,-14.913422818791947,-7.231504590879083,-35.892196105344915,Campina Grande,PB,77.5
Pitangueiras,-12.1875,-21.01000725213904,-48.21929005048194,Pitangueiras,SP,79.39
Rio Do Oeste,-18.0,-27.196062644970894,-49.79692907944876,Rio Do Oeste,SC,79.69999999999999
Araquari,-9.909090909090908,-26.4086310776825,-48.7590546323903,Araquari,SC,80.0
,,,,Santa Catarina,SC,80.9
Passos,-11.790142635221015,-20.72258332411238,-46.60470624873675,Passos,MG,86.5
Fernando Prestes,-14.166666666666666,-21.267084579820693,-48.68662501644836,Fernando Prestes,SP,86.6
Armacao Dos Buzios,-3.4642857142857144,-22.76601561892179,-41.90626320952096,Armacao Dos Buzios,RJ,89.9
Campanha,-10.428571428571429,-21.834693310992467,-45.401855657080986,Campanha,MG,90.0
Marialva,-16.0625,-23.48424649843357,-51.79910751418011,Marialva,PR,92.9
,,,,Portoferreira,SP,98.0
Viana,-8.472189349112426,-16.804351459133137,-41.37858231508264,Viana,ES,98.0
Messias Targino,-15.0,-6.079178863348905,-37.51419087572665,Messias Targino,RN,98.0
Ronda Alta,-12.166666666666666,-27.78229015175835,-52.80627761686821,Ronda Alta,RS,100.9
Bom Jardim,-8.031205673758866,-21.77323600852973,-42.35306387717665,Bom Jardim,RJ,101.9
Ibirite,-18.626569037656903,-20.017136718668947,-44.06822144114824,Ibirite,MG,102.0
,,,,Ferraz De  Vasconcelos,SP,108.0
Palhoca,-10.580821569375557,-27.653266354856587,-48.6726193849992,Palhoca,SP,111.8
Cacador,-13.007288629737609,-26.778516384646757,-51.01114895661408,Cacador,SC,119.8
Itabira,-12.281735258985774,-19.631539976090746,-43.22259168306185,Itabira,MG,124.6
Paracambi,-14.0,-22.616674007045216,-43.706674061865066,Paracambi,RJ,125.0
Cordeiropolis,-14.666666666666666,-22.481874078816553,-47.4601004341823,Cordeiropolis,SP,129.45999999999998
Santo Antonio Da Patrulha,-17.647058823529413,-29.831516933795598,-50.51790273577648,Santo Antonio Da Patrulha,RS,136.9
Alambari,-13.666666666666666,-23.561571066058445,-47.88510054852835,Alambari,SP,138.6
Cravinhos,-14.375,-21.338915706167224,-47.73819930720571,Cravinhos,SP,138.60000000000002
Pacatuba,-20.424242424242426,-3.917148410105682,-38.60761471539001,Pacatuba,CE,139.0
Tres Coroas,-13.5,-29.5107402049301,-50.78142741205358,Tres Coroas,RS,139.9
Monte Alegre Do Sul,-11.24507486209614,-22.694352087973233,-46.97741829423366,Monte Alegre Do Sul,SP,139.96
,,,,Abadia De Goias,GO,142.47
Alvares Machado,-12.5,-22.077207314114514,-51.46745319407603,Alvares Machado,SP,148.59
Sertanopolis,-14.75,-23.058947215839765,-51.03748208565939,Sertanopolis,SP,149.7
Torres,-19.0,-29.339175166485482,-49.744406580630006,Torres,RS,149.79
Gaspar,-11.217939214232764,-26.917583905650407,-48.957248227174446,Gaspar,SC,150.8
,,,,Ribeirao Pretp,SP,153.6
Joao Monlevade,-16.457337883959045,-19.8176587959092,-43.17132003807739,Joao Monlevade,MG,158.78
Guaira,-11.904496225795866,-20.677343387526108,-48.87575255314379,Guaira,SP,159.9
Juiz De Fora,-13.166132542037587,-21.75805909666901,-43.35884615736643,Juiz De Fora,SP,161.0
Santa Maria Da Serra,-14.0,-22.569555909330923,-48.15584254474699,Santa Maria Da Serra,SP,164.96
Lambari,-15.125,-21.974297810205393,-45.3490513780955,Lambari,MG,165.8
Barbacena,-14.824177553911538,-21.220474618017917,-43.77211192889722,Barbacena,MG,170.0
Pato Bragado,-10.0,-24.625504809194315,-54.22716204532609,Pato Bragado,PR,172.8
Campos Novos,-11.928571428571429,-27.3988764260652,-51.224358387361825,Campos Novos,SC,174.0
Itau De Minas,-10.8,-20.744272482905657,-46.751527276476295,Itau De Minas,MG,174.70000000000002
Parana,4.5,-12.617087154600132,-47.87552658516529,Parana,PR,175.0
Itapui,-10.0,-22.234624375395825,-48.722201765701406,Itapui,SP,175.0
Taio,-12.285714285714286,-27.118393024537372,-50.00022091980637,Taio,SC,175.7
Paraiso Do Sul,-27.0,-29.72261976918127,-53.179103555284705,Paraiso Do Sul,RS,177.78
,,,,Sao Paulop,SP,178.69
Pinhalzinho,-9.432291666666666,-24.687318693860504,-49.588141338288985,Pinhalzinho,SC,178.8
,,,,Belo Horizont,MG,178.9
,,,,Jacarei / Sao Paulo,SP,179.9
Rio Bonito,-13.074074074074074,-22.71197228755435,-42.630201171688654,Rio Bonito,SP,180.0
Pedro Leopoldo,-14.25,-19.612568564306933,-44.03975812098612,Pedro Leopoldo,MG,182.70000000000002
,,,,Sao Bernardo Do Capo,SP,186.69
Varzea Alegre,-5.0,-6.792628832609765,-39.2987119452413,Varzea Alegre,CE,189.0
Marechal Candido Rondon,-10.6,-24.554779706474005,-54.058913651473326,Marechal Candido Rondon,SP,193.54999999999998
Pedrinhas Paulista,-12.75,-22.81513690159189,-50.790500341027105,Pedrinhas Paulista,SP,195.74
Blumenau,-13.156196943972835,-26.90504386695612,-49.08666518877257,Blumenau,SP,199.5
Ipira,-16.38701923076923,-13.752521808679251,-41.002038205446134,Ipira,BA,199.9
Governador Valadares,-13.79852003369029,-18.860454458961513,-41.950331187864634,Governador Valadares,MG,199.98
Marechal Candido Rondon,-10.6,-24.554779706474005,-54.058913651473326,Marechal Candido Rondon,PR,200.94
Itaporanga,-10.98913043478261,-22.493422737927585,-48.64860400918664,Itaporanga,SP,201.5
Presidente Getulio,-11.333333333333334,-27.050066109950635,-49.62533877720166,Presidente Getulio,SC,202.89
Prados,-19.666666666666668,-21.05905176811203,-44.084488635750155,Prados,MG,210.0
Formosa,-7.2526833631484795,-15.545185016687208,-47.33265324775195,Formosa,GO,218.9
Camboriu,-12.156046814044213,-27.019073351333734,-48.65406060978926,Camboriu,SC,219.8
Francisco Morato,-11.205488194001276,-23.282675431478367,-46.74074718730238,Francisco Morato,SP,223.32
Clementina,-9.75,-21.560394568460254,-50.44623203444712,Clementina,SP,224.3
Rio Das Pedras,-10.5,-22.842649281868074,-47.607205969278304,Rio Das Pedras,SP,229.9
Olimpia,-14.25,-20.73741693183782,-48.908951203061456,Olimpia,SP,231.89999999999998
Rio De Janeiro,-13.160331297208248,-22.924747893019667,-43.311169077645744,Rio De Janeiro,SP,234.67000000000002
Chapeco,-9.08213502315379,-27.096276203368287,-52.61966849971577,Chapeco,SP,243.8
Ipe,-21.5,-28.805230821702786,-51.28825689807073,Ipe,RS,244.0
Caruaru,-13.659478435305918,-8.27722444851789,-35.97170846691237,Caruaru,PE,245.61
Santa Rosa,-15.7378314870762,-27.910484635491937,-54.4293996371196,Santa Rosa,RS,246.0
Bage,-11.29194465035829,-31.327014109483624,-54.10494219508463,Bage,RS,248.0
,,,,Minas Gerais,MG,249.9
Pato Branco,-12.417282253908263,-26.22735190184169,-52.67399634519015,Pato Branco,PR,251.87
,,,,Centro,MG,252.93
Barra Velha,-7.133333333333334,-26.659851823909243,-48.68900082491744,Barra Velha,SC,257.25
Triunfo,-16.068627450980394,-28.48471913245803,-50.82183631425031,Triunfo,RS,261.70000000000005
Guiricema,-8.0,-21.00466750894162,-42.71946285802102,Guiricema,MG,268.7
Cachoeira Do Sul,-17.091211401425177,-30.038233304000162,-52.897286409132846,Cachoeira Do Sul,RS,269.70000000000005
Nhandeara,-10.714285714285714,-20.693488565281626,-50.04261717535815,Nhandeara,SP,269.9
,,,,Sao Jose Do Rio Pret,SP,279.8
Sao Joao Da Boa Vista,-13.906224066390042,-21.97541415238822,-46.79016831294086,Sao Joao Da Boa Vista,SP,287.0
Afonso Claudio,-14.454545454545455,-20.07674305578998,-41.12368569823668,Afonso Claudio,ES,293.99
Leme,-11.54582631705557,-22.188421310314812,-47.384967450145226,Leme,SP,298.7
,,,,Sao Paulo / Sao Paulo,SP,299.5
Irece,-14.846153846153847,-11.304144808760656,-41.85605522911218,Irece,BA,299.89
Treze Tilias,-13.727272727272727,-26.998852486443674,-51.41131934332029,Treze Tilias,SC,302.06
,,,,Santa Terezinha De Goias,GO,302.1
Pelotas,-12.391433418150976,-31.756308990060315,-52.33927420874919,Pelotas,RS,303.9
Itirapina,-11.0,-22.251861673447728,-47.813852095746974,Itirapina,SP,307.6
Garuva,-13.6,-26.034726689531055,-48.853641645208974,Garuva,SC,308.96000000000004
Jaragua,-11.285714285714286,-15.750810157919616,-49.32982346532594,Jaragua,GO,314.51
Igrejinha,-15.294117647058824,-29.571889316961045,-50.79474006851205,Igrejinha,RS,314.96000000000004
,,,,Rio De Janeiro \Rio De Janeiro,RJ,315.70000000000005
Igaracu Do Tiete,-14.5,-22.51623746513006,-48.56269830729325,Igaracu Do Tiete,SP,317.84
Jaciara,-12.0,-15.95937534772296,-54.971007628159306,Jaciara,MT,318.0
Serra,-8.665820359281437,-20.1809070005139,-40.24117180692169,Serra,ES,318.29999999999995
Saquarema,-11.199181117533719,-22.91586291346512,-42.49725222122931,Saquarema,RJ,322.8
,,,,Castro Pires,MG,334.99
Rolante,-15.555555555555555,-29.648842219490707,-50.571851286829094,Rolante,RS,344.2
Janauba,-12.817418677859392,-15.808870037957815,-43.310127167030195,Janauba,MG,354.9
,,,,Serra Redonda,PB,355.0
Sao Vicente,-8.84960697035704,-23.956444392829226,-46.378903200890385,Sao Vicente,SP,358.0
Auriflama,-10.2,-20.684102669129658,-50.55493724664943,Auriflama,SP,359.33
Xaxim,-8.7,-26.95949606942143,-52.532287752075156,Xaxim,SC,360.0
Osvaldo Cruz,-13.1875,-21.7957025544846,-50.87915583052284,Osvaldo Cruz,SP,370.15999999999997
Santa Cruz Do Sul,-12.358943781942079,-29.716777586757644,-52.42875868817137,Santa Cruz Do Sul,RS,388.0
Ourinhos,-11.727651966626937,-22.978070890193614,-49.8753159729219,Ourinhos,SP,389.64
,,,,Sao Paulo Sp,SP,390.0
Caratinga,-16.021691352126133,-19.78735716687002,-42.1391131232983,Caratinga,MG,391.15
Itaborai,-12.904590459045904,-22.75055783236762,-42.867819474948334,Itaborai,RJ,399.0
Ararangua,-11.746302616609784,-28.94087485000252,-49.48375434962555,Ararangua,SC,416.04
,,,,Garulhos,SP,416.18
Mucambo,-20.0,-3.905726996478778,-40.74612755881526,Mucambo,CE,418.0
Florianopolis,-9.448770331815224,-27.5631348903889,-48.50753351022632,Florianopolis,SP,421.5
Tres De Maio,-20.083333333333332,-27.77649771655923,-54.235323793116315,Tres De Maio,RS,425.75
,,,,Ao Bernardo Do Campo,SP,434.96000000000004
Erechim,-11.518535469107551,-27.63660961886309,-52.272328439191654,Erechim,RS,450.0
,,,,Embu Guacu,SP,452.2
,,,,Cariacica / Es,ES,453.0
Alvorada,-13.743677042801556,-28.932796028708253,-50.95104223381241,Alvorada,RS,464.0
Carmo Do Cajuru,-18.5,-20.29288053575504,-44.83809486209037,Carmo Do Cajuru,MG,479.2
Itapetininga,-12.141031492469192,-23.587523685945722,-48.04725438008523,Itapetininga,SP,488.88
Laguna,-10.785714285714286,-28.476154796011475,-48.78480309518197,Laguna,SP,501.20000000000005
,,,,Balenario Camboriu,SC,507.0
Neopolis,-14.0,-10.32634385952241,-36.57747292320036,Neopolis,SE,509.5
,,,,Auriflama/Sp,SP,510.0
Irati,-14.363636363636363,-25.474808632538096,-50.65047330166929,Irati,PR,512.0
Laurentino,-8.8,-27.221346344779775,-49.73076074194028,Laurentino,SC,512.96
Mairinque,-12.583333333333334,-23.537441378662972,-47.188647839801085,Mairinque,SP,514.27
Caxias Do Sul,-13.734933634566506,-29.165103262753078,-51.183348510665056,Caxias Do Sul,SP,519.7
Santa Cecilia,-15.796747967479675,-26.78653938755018,-50.28684953514069,Santa Cecilia,SC,537.76
Bandeirantes,-12.846901579586877,-23.070603987020043,-50.423082869147166,Bandeirantes,PR,539.7
,,,,Santo Andre/Sao Paulo,SP,567.79
,,,,Brasilia Df,DF,568.78
Soledade,-14.664347826086956,-27.12384342748626,-51.24558979652901,Soledade,RS,578.0
Imbituva,-15.375,-25.22980960350924,-50.60436091054254,Imbituva,PR,578.1999999999999
Nova Trento,-13.833333333333334,-27.284123947671503,-48.931684495856345,Nova Trento,SC,594.0
,,,,Sao Miguel D'Oeste,SC,594.98
Sao Bento,-13.004524886877828,-5.120019533030218,-40.12333895996754,Sao Bento,PB,598.4
,,,,Sao Jose Dos Pinhas,PR,604.8
Cambe,-13.00682261208577,-23.285588282100925,-51.258684303089346,Cambe,PR,612.89
Pedregulho,-13.0,-20.248722345093277,-47.47751011096898,Pedregulho,SP,622.0
Colorado,-14.506787330316742,-23.37753914274213,-52.07007065100422,Colorado,PR,623.45
Mandaguacu,-15.75,-23.344241430383388,-52.099316496237144,Mandaguacu,PR,623.7
Colatina,-12.61167256189995,-19.53061229545389,-40.63606878259288,Colatina,ES,656.77
Presidente Epitacio,-12.0,-21.772489859383885,-52.11657702091198,Presidente Epitacio,SP,671.5
Muriae,-13.02029520295203,-21.130598709313453,-42.36975004018478,Muriae,MG,678.0
Volta Redonda,-8.212376742604556,-22.50731230299707,-44.09958671169312,Volta Redonda,RJ,683.08
Bonfinopolis De Minas,-16.5,-16.563526600402913,-45.993357588262015,Bonfinopolis De Minas,MG,696.0
Varzea Paulista,-13.9709952102182,-23.217938675241403,-46.83864290932711,Varzea Paulista,SP,701.54
Nova Odessa,-10.60783200908059,-22.78526492340388,-47.29783863871463,Nova Odessa,SP,705.3399999999999
,,,,Rio De Janeiro / Rio De Janeiro,RJ,721.89
Porto Alegre,-12.447953848927348,-30.048842241597242,-51.19620644789374,Porto Alegre,SP,722.0
Arinos,-14.125,-15.922557953732245,-46.10810020710096,Arinos,MG,724.72
Sao Pedro Da Aldeia,-11.491058482358627,-22.82248790530029,-42.14668560749664,Sao Pedro Da Aldeia,RJ,728.79
Horizontina,-21.714285714285715,-27.626288389382047,-54.3103914616519,Horizontina,RS,739.0
Picarras,1.0,-26.76088503703848,-48.67964304885746,Picarras,SC,759.0
Guarapuava,-12.114054054054055,-25.392330643869062,-51.46914927988283,Guarapuava,PR,763.1
Pinhalao,-18.0,-23.789783841538036,-50.058605709901606,Pinhalao,PR,765.19
,,,,"Rio De Janeiro, Rio De Janeiro, Brasil",RJ,789.8
Engenheiro Coelho,-10.333333333333334,-22.488836738837346,-47.20945249793252,Engenheiro Coelho,SP,793.9
,,,,Carapicuiba / Sao Paulo,SP,810.95
Boituva,-13.382978723404255,-23.28658218135728,-47.67114211477746,Boituva,SP,818.3
Rio Grande,-12.143247202983485,-32.04788554399639,-52.11403489215707,Rio Grande,RS,822.58
Franco Da Rocha,-12.07361963190184,-23.31855017708079,-46.724372742827725,Franco Da Rocha,SP,822.7
Campo Magro,-3.0,-25.375923341646313,-49.38748957765852,Campo Magro,PR,832.4100000000001
Orlandia,-13.25,-20.71677930539717,-47.87980278980874,Orlandia,SP,839.4000000000001
,,,,Andira-Pr,PR,844.9999999999999
Aparecida,-12.4,-22.853025699859607,-45.25021091003281,Aparecida,SP,847.35
,,,,Bahia,BA,849.5
Santa Barbara D Oeste,-10.955032119914346,-22.749991928062187,-47.40370621376799,Santa Barbara D Oeste,SP,855.91
Estancia Velha,-16.97910447761194,-29.657446023864964,-51.172544019887134,Estancia Velha,RS,861.8000000000001
Domingos Martins,-10.222222222222221,-20.36202443550713,-40.68169578734027,Domingos Martins,ES,862.9
Camanducaia,-12.333333333333334,-22.755744824598306,-46.139547096377036,Camanducaia,MG,871.8
Itapeva,-14.002647837599294,-23.921621417100635,-48.74352055739108,Itapeva,SP,917.0
Terra Boa,-13.5,-23.77076250022671,-52.44779388407056,Terra Boa,PR,973.6
Dores De Campos,-15.125,-21.109888276064485,-44.02314172990817,Dores De Campos,MG,974.0
,,,,Pinhais/Pr,PR,989.74
Chapeco,-9.08213502315379,-27.096276203368287,-52.61966849971577,Chapeco,SC,996.6999999999999
Vassouras,-12.916666666666666,-22.407485158693497,-43.667737631511045,Vassouras,RJ,1041.3
,,,,Sp / Sp,SP,1045.47
,,,,Mogi Das Cruses,SP,1069.8
Nova Petropolis,-9.0,-29.375113801103552,-51.10879600976386,Nova Petropolis,RS,1077.8000000000002
Aracaju,-9.810757946210268,-10.942526081338478,-37.06297812856013,Aracaju,SE,1096.7
Piracanjuba,-10.7,-17.303261316453252,-49.02591416605261,Piracanjuba,GO,1135.2
Joao Pinheiro,-14.0,-17.729898195113368,-46.16582085958609,Joao Pinheiro,MG,1139.97
Cataguases,-12.954665659236872,-21.38516730915488,-42.69542196016786,Cataguases,MG,1140.0
Pederneiras,-11.857142857142858,-22.347656923428968,-48.78445709494655,Pederneiras,SP,1144.98
Sao Francisco Do Sul,-11.9375,-26.24549771113401,-48.60693050432597,Sao Francisco Do Sul,SC,1154.0
Nova Lima,-12.126307211734348,-20.002732245879532,-43.90042548734001,Nova Lima,MG,1154.35
Jacutinga,-13.036311514572384,-22.301142876747463,-46.62615350020084,Jacutinga,RS,1156.03
Imbituba,-12.774193548387096,-28.232438311255255,-48.680223434055556,Imbituba,SC,1173.6
Manaus,-19.59553903345725,-3.0844405503920154,-60.01319647727397,Manaus,AM,1177.0
,,,,Ji Parana,RO,1182.26
Araxa,-12.663020833333333,-19.593857009833236,-46.9389838895173,Araxa,MG,1188.79
Floresta,-12.577557755775578,-12.314129342181836,-41.91204441804596,Floresta,PR,1190.87
Sao Jose Do Rio Pardo,-12.090909090909092,-21.58455784193842,-46.9427932354964,Sao Jose Do Rio Pardo,SP,1191.75
Santa Maria,-11.34743324824764,-29.68097790650174,-53.795195363034495,Santa Maria,RS,1205.88
Extrema,-15.0,-22.80868724874586,-46.38048800161117,Extrema,MG,1208.0
,,,,Ribeirao Preto / Sao Paulo,SP,1208.0
Sabara,-13.08681522748375,-19.88231851119939,-43.85761371859778,Sabara,MG,1217.9
Feira De Santana,-12.524605635701766,-12.251793199799803,-38.95781139815831,Feira De Santana,BA,1230.0
Marechal Candido Rondon,-10.6,-24.554779706474005,-54.058913651473326,Marechal Candido Rondon,PA,1238.0
Guanhaes,-13.944444444444445,-18.77557919926829,-42.93188489378451,Guanhaes,MG,1252.0
Jambeiro,-17.75,-23.259270282062154,-45.69715444045324,Jambeiro,SP,1280.0
Embu Das Artes,-9.331236616702355,-23.65609773408693,-46.81292651324416,Embu Das Artes,SP,1282.0
Porto Seguro,-9.321794766631122,-16.432039335273426,-39.07749487404008,Porto Seguro,BA,1320.7
Venancio Aires,-11.307692307692308,-29.611349103407647,-52.19338126352566,Venancio Aires,RS,1322.31
Holambra,-15.782608695652174,-22.63428909222998,-47.053267986483284,Holambra,SP,1322.93
Lagoa Santa,-15.137931034482758,-19.638052954515953,-43.899262258884605,Lagoa Santa,MG,1328.02
Rio Negrinho,-15.076923076923077,-26.255763826836233,-49.520900154058396,Rio Negrinho,SC,1341.45
Ipira,-16.38701923076923,-13.752521808679251,-41.002038205446134,Ipira,SP,1342.0
Formosa Do Oeste,-14.0,-24.29604466508284,-53.315138137206254,Formosa Do Oeste,PR,1349.1
Marica,-10.457472959685349,-22.927540591256655,-42.86883943143899,Marica,RJ,1359.0
Porto Belo,-12.666666666666666,-27.156918925167137,-48.56761529461857,Porto Belo,SC,1369.7
,,,,Tabao Da Serra,SP,1372.3
Ubatuba,-9.38888888888889,-23.45349763029941,-45.09370369615149,Ubatuba,SP,1382.04
Itaipulandia,-11.666666666666666,-25.148443566560523,-54.30264039051029,Itaipulandia,PR,1397.84
Ivoti,-19.615384615384617,-29.605798424677538,-51.16429709669654,Ivoti,RS,1400.0
Campina Das Missoes,-11.0,-27.99018384391736,-54.84144273732057,Campina Das Missoes,RS,1438.11
Londrina,-14.163009913863156,-23.31690724551106,-51.16525726473772,Londrina,SP,1455.0
Laranjeiras Do Sul,-15.396453451551615,-25.406082831704907,-52.4119853541601,Laranjeiras Do Sul,SP,1459.97
Jaci,-13.0,-20.884314634454388,-49.57184637092642,Jaci,SP,1468.4
Artur Nogueira,-11.175,-22.570786711814474,-47.165647847939,Artur Nogueira,SP,1475.1
Eunapolis,-16.770939548434086,-16.371162284215444,-39.58560633122023,Eunapolis,BA,1486.8
Monte Alto,-13.15625,-21.26362043909193,-48.495054311430046,Monte Alto,SP,1499.94
Aperibe,-12.5,-21.62594403385551,-42.10532354480055,Aperibe,RJ,1500.34
Vargem Grande Do Sul,-14.25,-21.83523840264715,-46.89933155386077,Vargem Grande Do Sul,SP,1500.5
Taruma,-14.11111111111111,-22.74911987899773,-50.57902863185216,Taruma,SP,1517.77
,,,,Sbc/Sp,SP,1535.2
Rodeio,-15.0,-26.889837867680317,-49.35106791016077,Rodeio,SC,1541.4
Ampere,-14.625,-25.919095581250637,-53.47400197539544,Ampere,PR,1552.0
Tiete,-12.342857142857143,-23.101812170769886,-47.71207006761885,Tiete,SP,1552.27
Cerqueira Cesar,-10.055555555555555,-23.03401382196383,-49.16277608958893,Cerqueira Cesar,SP,1572.9
Pitanga,-16.666666666666668,-24.75762438764076,-51.766579746014386,Pitanga,PR,1582.29
Vespasiano,-13.146341463414634,-19.731554074423343,-43.94211979895807,Vespasiano,MG,1597.3
,,,,Sao  Jose Dos Pinhais,PR,1598.0
Ouro Preto,-13.872727272727273,-20.390405580786194,-43.50581623071353,Ouro Preto,MG,1622.74
Itu,-10.89793429377239,-23.29567978202928,-47.30642377789711,Itu,SP,1641.0
Flores Da Cunha,-19.083333333333332,-29.03613785421223,-51.18319995780463,Flores Da Cunha,RS,1641.8
Cananeia,-6.375,-25.009307340430148,-47.93194535048923,Cananeia,SP,1642.0
Campos Dos Goytacazes,-10.983022204755354,-21.763654014980432,-41.3223426167671,Campos Dos Goytacazes,RJ,1667.0
Tanabi,-11.727272727272727,-20.62359886255569,-49.652213976522766,Tanabi,SP,1673.9
,,,,Lages - Sc,SC,1692.0
Joao Pessoa,-12.596874525868609,-7.118875412895784,-34.84328274892435,Joao Pessoa,PB,1695.49
Lorena,-11.328581485392467,-22.738459771644102,-45.11471443631468,Lorena,SP,1711.5
Mandaguari,-13.0,-23.52203146452043,-51.678106877988306,Mandaguari,PR,1716.0
,,,,Sando Andre,SP,1772.45
Sao Jose Dos Pinhais,-12.475079632752482,-25.52838223207377,-49.17512480901241,Sao Jose Dos Pinhais,SP,1789.0
Mineiros Do Tiete,-14.666666666666666,-22.413558559591177,-48.45127221284602,Mineiros Do Tiete,SP,1805.21
Socorro,-16.05263157894737,-22.595144429716772,-46.51392941682049,Socorro,SP,1812.96
Paranavai,-11.804301075268818,-23.081700572154368,-52.45833112636972,Paranavai,PR,1872.79
Ponta Grossa,-13.222453222453222,-25.091521711262217,-50.15641435176786,Ponta Grossa,PR,1873.51
Xanxere,-14.137931034482758,-26.876411823459758,-52.40458658735514,Xanxere,SC,1947.15
Portao,-15.3,-29.694030344780522,-51.23346246669653,Portao,RS,2042.98
Aruja,-12.602482388460249,-23.399419959722184,-46.322672805178215,Aruja,SP,2047.21
Bocaiuva Do Sul,-15.0,-25.211007790056833,-49.11159983768517,Bocaiuva Do Sul,PR,2184.0
Mairipora,-10.76,-23.331436159611084,-46.597021626075794,Mairipora,SP,2185.98
Sao Bento Do Sul,-13.209677419354838,-26.246814713115572,-49.383219162331876,Sao Bento Do Sul,SC,2201.1
Vitoria De Santo Antao,-15.825358851674642,-8.11572532465337,-35.292964619305096,Vitoria De Santo Antao,PE,2217.99
Luziania,-15.355179704016914,-16.212772784348445,-47.94925562158789,Luziania,GO,2223.38
Bady Bassitt,-15.833333333333334,-20.91720180821495,-49.451017112869714,Bady Bassitt,SP,2292.88
,,,,Monteiro Lobato,SP,2299.2799999999997
Uruacu,-16.0,-14.52078902692447,-49.14260227783241,Uruacu,GO,2314.71
Farroupilha,-17.22802041973908,-29.272959550970633,-51.35608405985338,Farroupilha,RS,2325.9900000000002
Guaratuba,-16.444444444444443,-25.888595862552247,-48.58518455198979,Guaratuba,PR,2329.59
Paulo Lopes,-11.5,-27.978665492288254,-48.68271760811336,Paulo Lopes,SC,2344.98
Mococa,-14.826279216677195,-21.46744125682937,-47.00645291078502,Mococa,SP,2363.4
Angra Dos Reis,-11.653570480488453,-22.995436900971708,-44.353135266989106,Angra Dos Reis,RJ,2368.8
Santa Rosa De Viterbo,-10.692307692307692,-21.483448896972753,-47.36866478744313,Santa Rosa De Viterbo,SP,2381.0
